player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Al Horford,Lakers @ Celtics,Celtics,Lakers,6.5,betmgm,110.0,2.1,0.4762,116.0,0.463,-2.77,prophetexchange,136.0,2.36,0.4237,-116.0,0.537,26.73,11,12,12
Andrew Nembhard,Pacers @ Hawks,Hawks,Pacers,3.5,unknown,190.0,2.9,0.3448,100.0,0.5,45.0,hardrockbet,-110.0,1.9091,0.5238,100.0,0.5,-4.55,12,10,12
Cj Mccollum,Pelicans @ Rockets,Rockets,Pelicans,3.5,betonline,126.0,2.26,0.4425,129.0,0.4367,-1.31,fliff,120.0,2.2,0.4545,-129.0,0.5633,23.93,12,11,12
Dillon Brooks,Pelicans @ Rockets,Rockets,Pelicans,3.5,unknown,160.0,2.6,0.3846,102.0,0.495,28.7,hardrockbet,100.0,2.0,0.5,-102.0,0.5049,0.98,12,11,12
Goga Bitadze,Magic @ Bucks,Bucks,Magic,5.5,hardrockbet,110.0,2.1,0.4762,118.0,0.4587,-3.67,fanatics,-125.0,1.8,0.5556,-118.0,0.5413,-2.57,12,10,12
Jordan Poole,Wizards @ Raptors,Raptors,Wizards,3.5,unknown,140.0,2.4,0.4167,100.0,0.5,20.0,hardrockbet,115.0,2.15,0.4651,100.0,0.5,7.5,12,11,12
Kelly Olynyk,Pelicans @ Rockets,Rockets,Pelicans,5.5,fanduel,-106.0,1.9434,0.5146,-106.0,0.5146,0.01,prophetexchange,100.0,2.0,0.5,106.0,0.4854,-2.92,12,12,12
Kentavious Caldwellpope,Magic @ Bucks,Bucks,Magic,2.5,espnbet,145.0,2.45,0.4082,100.0,0.5,22.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,12,11,12
Miles Bridges,Nets @ Hornets,Hornets,Nets,8.5,betparx,114.0,2.14,0.4673,104.0,0.4902,4.9,prophetexchange,118.0,2.18,0.4587,-104.0,0.5098,11.14,12,11,12
Onyeka Okongwu,Pacers @ Hawks,Hawks,Pacers,9.5,caesars,-107.0,1.9346,0.5169,-154.0,0.6063,17.29,betmgm,100.0,2.0,0.5,154.0,0.3937,-21.26,12,11,12
Rj Barrett,Wizards @ Raptors,Raptors,Wizards,5.5,prophetexchange,134.0,2.34,0.4274,-167.0,0.6255,46.37,caesars,108.0,2.08,0.4808,167.0,0.3745,-22.1,12,11,12
Trae Young,Pacers @ Hawks,Hawks,Pacers,2.5,fanduel,136.0,2.36,0.4237,-113.0,0.5305,25.2,betparx,108.0,2.08,0.4808,113.0,0.4695,-2.34,12,11,12
Zaccharie Risacher,Pacers @ Hawks,Hawks,Pacers,3.5,fanduel,132.0,2.32,0.431,-129.0,0.5633,30.69,caesars,125.0,2.25,0.4444,129.0,0.4367,-1.74,11,12,12
Amen Thompson,Pelicans @ Rockets,Rockets,Pelicans,9.5,fanduel,124.0,2.24,0.4464,100.0,0.5,12.0,betrivers,112.0,2.12,0.4717,100.0,0.5,6.0,11,11,11
Buddy Hield,Pistons @ Warriors,Warriors,Pistons,2.5,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,fanduel,122.0,2.22,0.4505,100.0,0.5,11.0,11,11,11
Dennis Schroder,Pistons @ Warriors,Warriors,Pistons,2.5,prophetexchange,144.0,2.44,0.4098,140.0,0.4167,1.67,hardrockbet,-145.0,1.6897,0.5918,-140.0,0.5833,-1.44,11,11,11
Duncan Robinson,Bulls @ Heat,Heat,Bulls,2.5,unknown,-125.0,1.8,0.5556,100.0,0.5,-10.0,betmgm,105.0,2.05,0.4878,100.0,0.5,2.5,11,10,11
Gary Payton Ii,Pistons @ Warriors,Warriors,Pistons,3.5,prophetexchange,110.0,2.1,0.4762,107.0,0.4831,1.45,hardrockbet,-110.0,1.9091,0.5238,-107.0,0.5169,-1.32,11,10,11
Isaiah Stewart,Pistons @ Warriors,Warriors,Pistons,5.5,unknown,115.0,2.15,0.4651,126.0,0.4425,-4.86,draftkings,114.0,2.14,0.4673,-126.0,0.5575,19.31,11,10,11
Yves Missi,Pelicans @ Rockets,Rockets,Pelicans,7.5,unknown,240.0,3.4,0.2941,136.0,0.4237,44.06,fanduel,-118.0,1.8475,0.5413,-136.0,0.5763,6.47,11,10,11
Aj Green,Magic @ Bucks,Bucks,Magic,2.5,betonline,-103.0,1.9709,0.5074,108.0,0.4808,-5.24,caesars,-117.0,1.8547,0.5392,-108.0,0.5192,-3.7,10,10,10
Anthony Black,Magic @ Bucks,Bucks,Magic,1.5,hardrockbet,145.0,2.45,0.4082,-149.0,0.5984,46.61,betonline,135.0,2.35,0.4255,149.0,0.4016,-5.62,10,7,10
