player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Tyrese Martin,Nets @ Hornets,Hornets,Nets,1.5,bet365,-135.0,1.7407,0.5745,-124.0,0.5536,-3.63,espnbet,110.0,2.1,0.4762,124.0,0.4464,-6.26,3,3,3
Yves Missi,Pelicans @ Rockets,Rockets,Pelicans,0.5,fliff,105.0,2.05,0.4878,-157.0,0.6109,25.23,bet365,155.0,2.55,0.3922,157.0,0.3891,-0.78,3,3,3
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,1.5,bet365,155.0,2.55,0.3922,162.0,0.3817,-2.67,bet365,-190.0,1.5263,0.6552,-162.0,0.6183,-5.63,2,1,2
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,0.5,bet365,-210.0,1.4762,0.6774,-179.0,0.6416,-5.29,bet365,165.0,2.65,0.3774,179.0,0.3584,-5.02,2,2,2
Karlo Matkovic,Pelicans @ Rockets,Rockets,Pelicans,1.5,prophetexchange,174.0,2.74,0.365,158.0,0.3876,6.2,bet365,-165.0,1.6061,0.6226,-158.0,0.6124,-1.64,2,1,2
Luke Kornet,Lakers @ Celtics,Celtics,Lakers,1.5,draftkings,-154.0,1.6494,0.6063,100.0,0.5,-17.53,draftkings,120.0,2.2,0.4545,100.0,0.5,10.0,2,1,2
Moussa Diabate,Nets @ Hornets,Hornets,Nets,1.5,bet365,135.0,2.35,0.4255,135.0,0.4255,-0.01,prophetexchange,-113.0,1.885,0.5305,-135.0,0.5745,8.29,1,2,2
Orlando Robinson,Wizards @ Raptors,Raptors,Wizards,1.5,betmgm,-175.0,1.5714,0.6364,-151.0,0.6016,-5.46,bet365,145.0,2.45,0.4082,151.0,0.3984,-2.39,2,2,2
Seth Curry,Nets @ Hornets,Hornets,Nets,0.5,espnbet,-140.0,1.7143,0.5833,-126.0,0.5575,-4.43,bet365,125.0,2.25,0.4444,126.0,0.4425,-0.44,2,2,2
Steven Adams,Pelicans @ Rockets,Rockets,Pelicans,1.5,bet365,110.0,2.1,0.4762,-107.0,0.5169,8.55,betmgm,120.0,2.2,0.4545,107.0,0.4831,6.28,2,2,2
Tidjane Salaun,Nets @ Hornets,Hornets,Nets,1.5,bet365,150.0,2.5,0.4,161.0,0.3831,-4.23,bet365,-185.0,1.5405,0.6491,-161.0,0.6169,-4.97,2,2,2
Aj Lawson,Wizards @ Raptors,Raptors,Wizards,1.5,betmgm,130.0,2.3,0.4348,146.0,0.4065,-6.51,betmgm,-175.0,1.5714,0.6364,-146.0,0.5935,-6.74,1,1,1
Damion Baugh,Nets @ Hornets,Hornets,Nets,5.5,,,,,206.0,0.3268,,,,,,-206.0,0.6732,,0,0,0
