player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Kelly Olynyk,Pelicans @ Rockets,Rockets,Pelicans,1.5,bet365,170.0,2.7,0.3704,188.0,0.3472,-6.26,bet365,-230.0,1.4348,0.697,-188.0,0.6528,-6.34,1,1,1
Khris Middleton,Wizards @ Raptors,Raptors,Wizards,1.5,bet365,155.0,2.55,0.3922,173.0,0.3663,-6.59,bet365,-210.0,1.4762,0.6774,-173.0,0.6337,-6.45,1,1,1
Kyshawn George,Wizards @ Raptors,Raptors,Wizards,1.5,bet365,-180.0,1.5556,0.6428,-154.0,0.6063,-5.68,bet365,140.0,2.4,0.4167,154.0,0.3937,-5.51,1,1,1
Lamelo Ball,Nets @ Hornets,Hornets,Nets,1.5,bet365,140.0,2.4,0.4167,154.0,0.3937,-5.51,bet365,-180.0,1.5556,0.6428,-154.0,0.6063,-5.68,1,1,1
Marcus Smart,Wizards @ Raptors,Raptors,Wizards,0.5,bet365,-220.0,1.4545,0.6875,-179.0,0.6416,-6.68,bet365,160.0,2.6,0.3846,179.0,0.3584,-6.82,1,1,1
Mark Williams,Nets @ Hornets,Hornets,Nets,1.5,bet365,-200.0,1.5,0.6667,-167.0,0.6255,-6.18,bet365,150.0,2.5,0.4,167.0,0.3745,-6.38,1,1,1
Miles Bridges,Nets @ Hornets,Hornets,Nets,1.5,bet365,110.0,2.1,0.4762,123.0,0.4484,-5.84,bet365,-140.0,1.7143,0.5833,-123.0,0.5516,-5.44,1,1,1
Nic Claxton,Nets @ Hornets,Hornets,Nets,3.5,bet365,140.0,2.4,0.4167,154.0,0.3937,-5.51,bet365,-180.0,1.5556,0.6428,-154.0,0.6063,-5.68,1,1,1
Nick Jr Smith,Nets @ Hornets,Hornets,Nets,0.5,bet365,-155.0,1.6452,0.6078,-137.0,0.5781,-4.89,bet365,125.0,2.25,0.4444,137.0,0.4219,-5.07,1,1,1
Obi Toppin,Pacers @ Hawks,Hawks,Pacers,0.5,bet365,-110.0,1.9091,0.5238,104.0,0.4902,-6.42,bet365,-120.0,1.8333,0.5455,-104.0,0.5098,-6.54,1,1,1
Onyeka Okongwu,Pacers @ Hawks,Hawks,Pacers,1.5,bet365,-130.0,1.7692,0.5652,-113.0,0.5305,-6.14,bet365,100.0,2.0,0.5,113.0,0.4695,-6.1,1,1,1
Orlando Robinson,Wizards @ Raptors,Raptors,Wizards,0.5,bet365,-235.0,1.4255,0.7015,-193.0,0.6587,-6.1,bet365,175.0,2.75,0.3636,193.0,0.3413,-6.14,1,1,1
Pascal Siakam,Pacers @ Hawks,Hawks,Pacers,1.5,bet365,135.0,2.35,0.4255,150.0,0.4,-6.0,bet365,-175.0,1.5714,0.6364,-150.0,0.6,-5.72,1,1,1
Richaun Holmes,Wizards @ Raptors,Raptors,Wizards,1.5,bet365,170.0,2.7,0.3704,188.0,0.3472,-6.26,bet365,-230.0,1.4348,0.697,-188.0,0.6528,-6.34,1,1,1
Rj Barrett,Wizards @ Raptors,Raptors,Wizards,1.5,bet365,135.0,2.35,0.4255,150.0,0.4,-6.0,bet365,-175.0,1.5714,0.6364,-150.0,0.6,-5.72,1,1,1
Ron Holland,Pistons @ Warriors,Warriors,Pistons,0.5,hardrockbet,-115.0,1.8696,0.5349,-104.0,0.5098,-4.69,,,,,104.0,0.4902,,1,0,1
Seth Curry,Nets @ Hornets,Hornets,Nets,0.5,bet365,130.0,2.3,0.4348,143.0,0.4115,-5.36,bet365,-165.0,1.6061,0.6226,-143.0,0.5885,-5.48,1,1,1
Steven Adams,Pelicans @ Rockets,Rockets,Pelicans,0.5,bet365,-165.0,1.6061,0.6226,-143.0,0.5885,-5.48,bet365,130.0,2.3,0.4348,143.0,0.4115,-5.36,1,1,1
Tari Eason,Pelicans @ Rockets,Rockets,Pelicans,2.5,bet365,-175.0,1.5714,0.6364,-150.0,0.6,-5.72,bet365,135.0,2.35,0.4255,150.0,0.4,-6.0,1,1,1
Thomas Bryant,Pacers @ Hawks,Hawks,Pacers,0.5,bet365,-165.0,1.6061,0.6226,-143.0,0.5885,-5.48,bet365,130.0,2.3,0.4348,143.0,0.4115,-5.36,1,1,1
Tidjane Salaun,Nets @ Hornets,Hornets,Nets,0.5,bet365,-180.0,1.5556,0.6428,-154.0,0.6063,-5.68,bet365,140.0,2.4,0.4167,154.0,0.3937,-5.51,1,1,1
Tj Mcconnell,Pacers @ Hawks,Hawks,Pacers,1.5,bet365,135.0,2.35,0.4255,150.0,0.4,-6.0,bet365,-175.0,1.5714,0.6364,-150.0,0.6,-5.72,1,1,1
Trae Young,Pacers @ Hawks,Hawks,Pacers,0.5,bet365,-210.0,1.4762,0.6774,-173.0,0.6337,-6.45,bet365,155.0,2.55,0.3922,173.0,0.3663,-6.59,1,1,1
Trendon Watford,Nets @ Hornets,Hornets,Nets,0.5,bet365,-210.0,1.4762,0.6774,-173.0,0.6337,-6.45,bet365,155.0,2.55,0.3922,173.0,0.3663,-6.59,1,1,1
Trey Murphy Iii,Pelicans @ Rockets,Rockets,Pelicans,1.5,bet365,-160.0,1.625,0.6154,-140.0,0.5833,-5.21,bet365,128.0,2.28,0.4386,140.0,0.4167,-4.99,1,1,1
Tyrese Haliburton,Pacers @ Hawks,Hawks,Pacers,2.5,bet365,145.0,2.45,0.4082,161.0,0.3831,-6.14,bet365,-190.0,1.5263,0.6552,-161.0,0.6169,-5.84,1,1,1
Tyrese Martin,Nets @ Hornets,Hornets,Nets,0.5,bet365,-155.0,1.6452,0.6078,-137.0,0.5781,-4.89,bet365,125.0,2.25,0.4444,137.0,0.4219,-5.07,1,1,1
Zaccharie Risacher,Pacers @ Hawks,Hawks,Pacers,0.5,bet365,-225.0,1.4444,0.6923,-183.0,0.6467,-6.59,bet365,165.0,2.65,0.3774,183.0,0.3534,-6.35,1,1,1
Ziaire Williams,Nets @ Hornets,Hornets,Nets,1.5,bet365,128.0,2.28,0.4386,140.0,0.4167,-4.99,bet365,-160.0,1.625,0.6154,-140.0,0.5833,-5.21,1,1,1
Zion Williamson,Pelicans @ Rockets,Rockets,Pelicans,2.5,bet365,150.0,2.5,0.4,167.0,0.3745,-6.38,bet365,-200.0,1.5,0.6667,-167.0,0.6255,-6.18,1,1,1
Cam Thomas,Nets @ Hornets,Hornets,Nets,0.5,,,,,-150.0,0.6,,,,,,150.0,0.4,,0,0,0
