player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Zaccharie Risacher,Pacers @ Hawks,Hawks,Pacers,12.5,hardrockbet,-105.0,1.9524,0.5122,-113.0,0.5305,3.57,bet365,100.0,2.0,0.5,113.0,0.4695,-6.1,6,6,6
Kevon Looney,Pistons @ Warriors,Warriors,Pistons,5.5,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,5,5,5
Kyshawn George,Wizards @ Raptors,Raptors,Wizards,14.5,espnbet,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,5,5,5
Marcus Smart,Wizards @ Raptors,Raptors,Wizards,10.5,espnbet,-105.0,1.9524,0.5122,103.0,0.4926,-3.82,bet365,100.0,2.0,0.5,-103.0,0.5074,1.48,5,5,5
Nic Claxton,Nets @ Hornets,Hornets,Nets,13.5,prizepicks,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,bet365,-110.0,1.9091,0.5238,104.0,0.4902,-6.42,5,5,5
Ron Holland,Pistons @ Warriors,Warriors,Pistons,5.5,underdog,-118.0,1.8475,0.5413,-106.0,0.5146,-4.93,betmgm,-105.0,1.9524,0.5122,106.0,0.4854,-5.23,5,4,5
Trendon Watford,Nets @ Hornets,Hornets,Nets,11.5,prizepicks,-118.0,1.8475,0.5413,100.0,0.5,-7.63,prophetexchange,130.0,2.3,0.4348,100.0,0.5,15.0,4,5,5
Aj Lawson,Wizards @ Raptors,Raptors,Wizards,10.5,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,prophetexchange,120.0,2.2,0.4545,100.0,0.5,10.0,3,4,4
Josh Green,Nets @ Hornets,Hornets,Nets,10.5,espnbet,100.0,2.0,0.5,115.0,0.4651,-6.98,betmgm,100.0,2.0,0.5,-115.0,0.5349,6.98,4,4,4
Karlo Matkovic,Pelicans @ Rockets,Rockets,Pelicans,7.5,betmgm,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,underdog,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,4,4,4
Keon Johnson,Nets @ Hornets,Hornets,Nets,14.5,bet365,-105.0,1.9524,0.5122,100.0,0.5,-2.38,fanatics,-115.0,1.8696,0.5349,100.0,0.5,-6.52,4,4,4
Kristaps Porzingis,Lakers @ Celtics,Celtics,Lakers,20.5,betmgm,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,4,4,4
Nick Jr Smith,Nets @ Hornets,Hornets,Nets,17.5,fanduel,-112.0,1.8929,0.5283,100.0,0.5,-5.35,betmgm,-105.0,1.9524,0.5122,100.0,0.5,-2.38,4,4,4
Orlando Robinson,Wizards @ Raptors,Raptors,Wizards,8.5,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,betmgm,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,4,4,4
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,4.5,espnbet,-130.0,1.7692,0.5652,-115.0,0.5349,-5.37,betmgm,105.0,2.05,0.4878,115.0,0.4651,-4.65,4,3,4
