player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Brook Lopez,Magic @ Bucks,Bucks,Magic,0.5,espnbet,-250.0,1.4,0.7143,-203.0,0.67,-6.2,bet365,190.0,2.9,0.3448,203.0,0.33,-4.3,2,2,2
Buddy Hield,Pistons @ Warriors,Warriors,Pistons,0.5,espnbet,-240.0,1.4167,0.7059,-192.0,0.6575,-6.85,bet365,180.0,2.8,0.3571,192.0,0.3425,-4.1,2,2,2
Chris Boucher,Wizards @ Raptors,Raptors,Wizards,0.5,bet365,140.0,2.4,0.4167,151.0,0.3984,-4.38,espnbet,-180.0,1.5556,0.6428,-151.0,0.6016,-6.42,2,2,2
Clint Capela,Pacers @ Hawks,Hawks,Pacers,0.5,bet365,105.0,2.05,0.4878,116.0,0.463,-5.08,espnbet,-135.0,1.7407,0.5745,-116.0,0.537,-6.52,2,2,2
Corey Kispert,Wizards @ Raptors,Raptors,Wizards,0.5,espnbet,-220.0,1.4545,0.6875,-177.0,0.639,-7.06,bet365,165.0,2.65,0.3774,177.0,0.361,-4.34,2,2,2
Dalton Knecht,Lakers @ Celtics,Celtics,Lakers,0.5,bet365,120.0,2.2,0.4545,127.0,0.4405,-3.09,espnbet,-150.0,1.6667,0.6,-127.0,0.5595,-6.75,2,2,2
Dangelo Russell,Nets @ Hornets,Hornets,Nets,1.5,bet365,-160.0,1.625,0.6154,-137.0,0.5781,-6.06,bet365,128.0,2.28,0.4386,137.0,0.4219,-3.81,2,2,2
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,0.5,prophetexchange,-140.0,1.7143,0.5833,-126.0,0.5575,-4.43,bet365,115.0,2.15,0.4651,126.0,0.4425,-4.86,2,1,2
Dayron Sharpe,Nets @ Hornets,Hornets,Nets,1.5,espnbet,160.0,2.6,0.3846,181.0,0.3559,-7.47,bet365,-220.0,1.4545,0.6875,-181.0,0.6441,-6.32,2,2,2
Dennis Schroder,Pistons @ Warriors,Warriors,Pistons,1.5,bet365,132.0,2.32,0.431,141.0,0.4149,-3.74,espnbet,-165.0,1.6061,0.6226,-141.0,0.5851,-6.03,2,2,2
Derrick White,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,130.0,2.3,0.4348,140.0,0.4167,-4.16,bet365,-165.0,1.6061,0.6226,-140.0,0.5833,-6.32,2,2,2
Dillon Brooks,Pelicans @ Rockets,Rockets,Pelicans,0.5,bet365,-230.0,1.4348,0.697,-186.0,0.6504,-6.68,bet365,170.0,2.7,0.3704,186.0,0.3497,-5.58,2,2,2
