player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Myles Turner,Pacers @ Hawks,Hawks,Pacers,25.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,fanatics,105.0,2.05,0.4878,100.0,0.5,2.5,9,9,9
Tari Eason,Pelicans @ Rockets,Rockets,Pelicans,22.5,caesars,-103.0,1.9709,0.5074,101.0,0.4975,-1.95,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,9,9,9
Trey Murphy Iii,Pelicans @ Rockets,Rockets,Pelicans,30.5,bovada,100.0,2.0,0.5,100.0,0.5,0.0,fanduel,-115.0,1.8696,0.5349,100.0,0.5,-6.52,9,9,9
Gary Payton Ii,Pistons @ Warriors,Warriors,Pistons,14.5,betonline,110.0,2.1,0.4762,104.0,0.4902,2.94,betmgm,-110.0,1.9091,0.5238,-104.0,0.5098,-2.67,8,8,8
Jamal Shead,Wizards @ Raptors,Raptors,Wizards,20.5,prophetexchange,120.0,2.2,0.4545,101.0,0.4975,9.45,bet365,-110.0,1.9091,0.5238,-101.0,0.5025,-4.07,8,7,8
Kyshawn George,Wizards @ Raptors,Raptors,Wizards,19.5,fanatics,-105.0,1.9524,0.5122,100.0,0.5,-2.38,bet365,-110.0,1.9091,0.5238,100.0,0.5,-4.55,8,8,8
Miles Bridges,Nets @ Hornets,Hornets,Nets,37.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,draftkings,100.0,2.0,0.5,100.0,0.5,0.0,8,8,8
Obi Toppin,Pacers @ Hawks,Hawks,Pacers,12.5,bet365,-115.0,1.8696,0.5349,-104.0,0.5098,-4.69,caesars,108.0,2.08,0.4808,104.0,0.4902,1.96,8,8,8
Onyeka Okongwu,Pacers @ Hawks,Hawks,Pacers,27.5,fanatics,-110.0,1.9091,0.5238,100.0,0.5,-4.55,espnbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,8,8,8
Paolo Banchero,Magic @ Bucks,Bucks,Magic,35.5,unknown,-115.0,1.8696,0.5349,103.0,0.4926,-7.9,caesars,-103.0,1.9709,0.5074,-103.0,0.5074,0.0,8,8,8
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,7.5,betmgm,-105.0,1.9524,0.5122,105.0,0.4878,-4.76,underdog,-118.0,1.8475,0.5413,-105.0,0.5122,-5.37,8,7,8
Zion Williamson,Pelicans @ Rockets,Rockets,Pelicans,34.5,betmgm,110.0,2.1,0.4762,-107.0,0.5169,8.55,betrivers,-106.0,1.9434,0.5146,107.0,0.4831,-6.11,8,8,8
Bennedict Mathurin,Pacers @ Hawks,Hawks,Pacers,17.5,bovada,-115.0,1.8696,0.5349,100.0,0.5,-6.52,prophetexchange,115.0,2.15,0.4651,100.0,0.5,7.5,6,7,7
Corey Kispert,Wizards @ Raptors,Raptors,Wizards,14.5,betonline,-114.0,1.8772,0.5327,100.0,0.5,-6.14,betonline,-114.0,1.8772,0.5327,100.0,0.5,-6.14,7,7,7
Dayron Sharpe,Nets @ Hornets,Hornets,Nets,15.5,espnbet,-115.0,1.8696,0.5349,100.0,0.5,-6.52,fanatics,-105.0,1.9524,0.5122,100.0,0.5,-2.38,7,7,7
Jabari Smith,Pelicans @ Rockets,Rockets,Pelicans,18.5,fanatics,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,betonline,104.0,2.04,0.4902,-108.0,0.5192,5.92,7,7,7
Jalen Wilson,Nets @ Hornets,Hornets,Nets,13.5,fanatics,115.0,2.15,0.4651,114.0,0.4673,0.47,bet365,-115.0,1.8696,0.5349,-114.0,0.5327,-0.41,6,7,7
Marcus Smart,Wizards @ Raptors,Raptors,Wizards,12.5,betmgm,-105.0,1.9524,0.5122,100.0,0.5,-2.38,bet365,-110.0,1.9091,0.5238,100.0,0.5,-4.55,7,7,7
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,11.5,betonline,-103.0,1.9709,0.5074,100.0,0.5,-1.45,prophetexchange,132.0,2.32,0.431,100.0,0.5,16.0,6,7,7
Nick Jr Smith,Nets @ Hornets,Hornets,Nets,20.5,betmgm,-105.0,1.9524,0.5122,-104.0,0.5098,-0.47,espnbet,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,7,7,7
