player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Kelel Ware,Bulls @ Heat,Heat,Bulls,0.5,prophetexchange,101.0,2.01,0.4975,-106.0,0.5146,3.43,fanatics,105.0,2.05,0.4878,106.0,0.4854,-0.49,9,7,9
Marcus Smart,Wizards @ Raptors,Raptors,Wizards,1.5,bet365,140.0,2.4,0.4167,152.0,0.3968,-4.77,bet365,-170.0,1.5882,0.6296,-152.0,0.6032,-4.2,9,9,9
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,0.5,underdog,-118.0,1.8475,0.5413,-111.0,0.5261,-2.8,betonline,102.0,2.02,0.495,111.0,0.4739,-4.27,9,7,9
Thomas Bryant,Pacers @ Hawks,Hawks,Pacers,0.5,prophetexchange,-103.0,1.9709,0.5074,-119.0,0.5434,7.1,bet365,110.0,2.1,0.4762,119.0,0.4566,-4.11,9,8,9
Wendell Carter Jr,Magic @ Bucks,Bucks,Magic,0.5,prophetexchange,-112.0,1.8929,0.5283,-120.0,0.5455,3.26,bet365,115.0,2.15,0.4651,120.0,0.4545,-2.28,9,6,9
Jalen Wilson,Nets @ Hornets,Hornets,Nets,1.5,bet365,155.0,2.55,0.3922,100.0,0.5,27.5,bet365,-190.0,1.5263,0.6552,100.0,0.5,-23.69,8,8,8
Jordan Hawkins,Pelicans @ Rockets,Rockets,Pelicans,1.5,fanduel,-136.0,1.7353,0.5763,-122.0,0.5495,-4.65,bet365,110.0,2.1,0.4762,122.0,0.4505,-5.39,8,8,8
Josh Green,Nets @ Hornets,Hornets,Nets,1.5,fanduel,136.0,2.36,0.4237,100.0,0.5,18.0,bet365,-150.0,1.6667,0.6,100.0,0.5,-16.66,8,8,8
Tari Eason,Pelicans @ Rockets,Rockets,Pelicans,1.5,espnbet,-105.0,1.9524,0.5122,-105.0,0.5122,0.0,bet365,120.0,2.2,0.4545,105.0,0.4878,7.32,8,8,8
Tyrese Haliburton,Pacers @ Hawks,Hawks,Pacers,2.5,fanduel,-150.0,1.6667,0.6,-135.0,0.5745,-4.25,bovada,132.0,2.32,0.431,135.0,0.4255,-1.28,8,8,8
Alperen Sengun,Pelicans @ Rockets,Rockets,Pelicans,0.5,fliff,315.0,4.15,0.241,234.0,0.2994,24.25,prophetexchange,-240.0,1.4167,0.7059,-234.0,0.7006,-0.75,6,7,7
Brandin Podziemski,Pistons @ Warriors,Warriors,Pistons,1.5,prizepicks,-118.0,1.8475,0.5413,-125.0,0.5556,2.65,bet365,115.0,2.15,0.4651,125.0,0.4444,-4.45,7,6,7
Seth Curry,Nets @ Hornets,Hornets,Nets,1.5,draftkings,2500.0,26.0,0.0385,146.0,0.4065,956.9,fanduel,-154.0,1.6494,0.6063,-146.0,0.5935,-2.11,7,7,7
Trendon Watford,Nets @ Hornets,Hornets,Nets,0.5,draftkings,750.0,8.5,0.1176,132.0,0.431,266.35,bovada,-147.0,1.6803,0.5951,-132.0,0.569,-4.39,7,7,7
