player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Jordan Hawkins,Pelicans @ Rockets,Rockets,Pelicans,12.5,bet365,-105.0,1.9524,0.5122,100.0,0.5,-2.38,caesars,-109.0,1.9174,0.5215,100.0,0.5,-4.13,7,7,7
Josh Green,Nets @ Hornets,Hornets,Nets,11.5,fanatics,105.0,2.05,0.4878,100.0,0.5,2.5,espnbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,7,7,7
Trae Young,Pacers @ Hawks,Hawks,Pacers,28.5,espnbet,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,fanduel,-106.0,1.9434,0.5146,-104.0,0.5098,-0.93,7,7,7
Tyrese Haliburton,Pacers @ Hawks,Hawks,Pacers,23.5,betmgm,100.0,2.0,0.5,-102.0,0.5049,0.98,fanduel,-102.0,1.9804,0.5049,102.0,0.495,-1.97,7,6,7
Anthony Black,Magic @ Bucks,Bucks,Magic,8.5,draftkings,-110.0,1.9091,0.5238,100.0,0.5,-4.55,betmgm,-105.0,1.9524,0.5122,100.0,0.5,-2.38,6,5,6
Brandin Podziemski,Pistons @ Warriors,Warriors,Pistons,18.5,fanatics,100.0,2.0,0.5,100.0,0.5,0.0,prophetexchange,125.0,2.25,0.4444,100.0,0.5,12.5,5,6,6
Chris Boucher,Wizards @ Raptors,Raptors,Wizards,14.5,fanatics,105.0,2.05,0.4878,-104.0,0.5098,4.51,caesars,-109.0,1.9174,0.5215,104.0,0.4902,-6.01,6,6,6
Corey Kispert,Wizards @ Raptors,Raptors,Wizards,13.5,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,fanduel,-122.0,1.8197,0.5495,100.0,0.5,-9.01,6,6,6
Jalen Wilson,Nets @ Hornets,Hornets,Nets,11.5,fanatics,110.0,2.1,0.4762,108.0,0.4808,0.97,bet365,-115.0,1.8696,0.5349,-108.0,0.5192,-2.93,6,6,6
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,12.5,betmgm,100.0,2.0,0.5,103.0,0.4926,-1.48,fanduel,-106.0,1.9434,0.5146,-103.0,0.5074,-1.39,6,5,6
Jose Alvarado,Pelicans @ Rockets,Rockets,Pelicans,9.5,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,betmgm,-105.0,1.9524,0.5122,100.0,0.5,-2.38,6,6,6
Keon Johnson,Nets @ Hornets,Hornets,Nets,16.5,betparx,-109.0,1.9174,0.5215,102.0,0.495,-5.09,fanduel,-104.0,1.9615,0.5098,-102.0,0.5049,-0.96,6,6,6
Mark Williams,Nets @ Hornets,Hornets,Nets,26.5,betmgm,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,6,5,6
Sam Hauser,Lakers @ Celtics,Celtics,Lakers,11.5,draftkings,-105.0,1.9524,0.5122,-102.0,0.5049,-1.42,bovada,105.0,2.05,0.4878,102.0,0.495,1.47,6,6,6
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,6.5,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,espnbet,-115.0,1.8696,0.5349,100.0,0.5,-6.52,6,5,6
Tim Hardaway Jr,Pistons @ Warriors,Warriors,Pistons,10.5,fanatics,105.0,2.05,0.4878,114.0,0.4673,-4.2,betmgm,100.0,2.0,0.5,-114.0,0.5327,6.54,6,6,6
Trendon Watford,Nets @ Hornets,Hornets,Nets,12.5,espnbet,-115.0,1.8696,0.5349,-104.0,0.5098,-4.69,prophetexchange,125.0,2.25,0.4444,104.0,0.4902,10.3,5,6,6
Ziaire Williams,Nets @ Hornets,Hornets,Nets,14.5,betmgm,105.0,2.05,0.4878,100.0,0.5,2.5,fanduel,100.0,2.0,0.5,100.0,0.5,0.0,6,6,6
Ben Sheppard,Pacers @ Hawks,Hawks,Pacers,9.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,prophetexchange,110.0,2.1,0.4762,100.0,0.5,5.0,4,5,5
Cam Thomas,Nets @ Hornets,Hornets,Nets,25.5,fanatics,-110.0,1.9091,0.5238,100.0,0.5,-4.55,caesars,-117.0,1.8547,0.5392,100.0,0.5,-7.27,5,5,5
Dangelo Russell,Nets @ Hornets,Hornets,Nets,14.5,espnbet,-110.0,1.9091,0.5238,100.0,0.5,-4.55,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,5,5,5
Dayron Sharpe,Nets @ Hornets,Hornets,Nets,13.5,fanduel,-108.0,1.9259,0.5192,100.0,0.5,-3.71,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,5,5,5
