player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Jamal Shead,Wizards @ Raptors,Raptors,Wizards,8.5,betmgm,100.0,2.0,0.5,-101.0,0.5025,0.5,espnbet,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,5,5,5
Kentavious Caldwellpope,Magic @ Bucks,Bucks,Magic,3.5,espnbet,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,underdog,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,5,5,5
Kevon Looney,Pistons @ Warriors,Warriors,Pistons,6.5,bet365,-115.0,1.8696,0.5349,-103.0,0.5074,-5.14,betmgm,-110.0,1.9091,0.5238,103.0,0.4926,-5.96,5,5,5
Kyshawn George,Wizards @ Raptors,Raptors,Wizards,8.5,bet365,100.0,2.0,0.5,113.0,0.4695,-6.1,prizepicks,-118.0,1.8475,0.5413,-113.0,0.5305,-1.99,5,5,5
Marcus Smart,Wizards @ Raptors,Raptors,Wizards,4.5,fanatics,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,underdog,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,5,5,5
Nic Claxton,Nets @ Hornets,Hornets,Nets,11.5,prophetexchange,128.0,2.28,0.4386,102.0,0.495,12.86,bet365,-115.0,1.8696,0.5349,-102.0,0.5049,-5.6,5,4,5
Nick Jr Smith,Nets @ Hornets,Hornets,Nets,6.5,betmgm,115.0,2.15,0.4651,125.0,0.4444,-4.45,fanduel,-140.0,1.7143,0.5833,-125.0,0.5556,-4.75,5,5,5
Onyeka Okongwu,Pacers @ Hawks,Hawks,Pacers,12.5,caesars,100.0,2.0,0.5,110.0,0.4762,-4.76,fanatics,-120.0,1.8333,0.5455,-110.0,0.5238,-3.97,5,5,5
Tim Hardaway Jr,Pistons @ Warriors,Warriors,Pistons,3.5,prizepicks,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,betmgm,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,5,5,5
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,6.5,espnbet,-125.0,1.8,0.5556,100.0,0.5,-10.0,fanatics,110.0,2.1,0.4762,100.0,0.5,5.0,5,5,5
Zaccharie Risacher,Pacers @ Hawks,Hawks,Pacers,5.5,bet365,120.0,2.2,0.4545,134.0,0.4274,-5.97,espnbet,-125.0,1.8,0.5556,-134.0,0.5726,3.07,5,5,5
Ziaire Williams,Nets @ Hornets,Hornets,Nets,5.5,fanatics,120.0,2.2,0.4545,100.0,0.5,10.0,bet365,120.0,2.2,0.4545,100.0,0.5,10.0,5,5,5
Aj Green,Magic @ Bucks,Bucks,Magic,3.5,bet365,-135.0,1.7407,0.5745,-120.0,0.5455,-5.04,fanatics,110.0,2.1,0.4762,120.0,0.4545,-4.55,4,4,4
Ben Sheppard,Pacers @ Hawks,Hawks,Pacers,6.5,fanatics,105.0,2.05,0.4878,101.0,0.4975,1.99,betmgm,100.0,2.0,0.5,-101.0,0.5025,0.5,4,4,4
