player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,1.5,fanduel,-144.0,1.6944,0.5902,100.0,0.5,-15.28,bet365,140.0,2.4,0.4167,100.0,0.5,20.0,11,8,12
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,1.5,fanduel,108.0,2.08,0.4808,104.0,0.4902,1.96,underdog,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,11,8,11
Paolo Banchero,Magic @ Bucks,Bucks,Magic,0.5,caesars,260.0,3.6,0.2778,100.0,0.5,80.0,draftkings,135.0,2.35,0.4255,100.0,0.5,17.5,11,6,11
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,0.5,caesars,275.0,3.75,0.2667,100.0,0.5,87.5,bet365,140.0,2.4,0.4167,100.0,0.5,20.0,10,7,10
Bam Adebayo,Bulls @ Heat,Heat,Bulls,0.5,fanduel,194.0,2.94,0.3401,187.0,0.3484,2.43,draftkings,180.0,2.8,0.3571,-187.0,0.6516,82.45,10,7,10
Brook Lopez,Magic @ Bucks,Bucks,Magic,0.5,fanduel,-114.0,1.8772,0.5327,-104.0,0.5098,-4.3,bet365,-110.0,1.9091,0.5238,104.0,0.4902,-6.42,10,6,10
Damian Lillard,Magic @ Bucks,Bucks,Magic,1.5,ballybet,175.0,2.75,0.3636,173.0,0.3663,0.73,bet365,-170.0,1.5882,0.6296,-173.0,0.6337,0.64,10,7,10
Draymond Green,Pistons @ Warriors,Warriors,Pistons,1.5,prophetexchange,108.0,2.08,0.4808,-124.0,0.5536,15.15,ballybet,120.0,2.2,0.4545,124.0,0.4464,-1.79,10,7,10
Franz Wagner,Magic @ Bucks,Bucks,Magic,1.5,bet365,180.0,2.8,0.3571,186.0,0.3497,-2.08,ballybet,185.0,2.85,0.3509,-186.0,0.6504,85.36,10,6,10
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,0.5,caesars,220.0,3.2,0.3125,-190.0,0.6552,109.66,fourwinds,175.0,2.75,0.3636,190.0,0.3448,-5.18,10,7,10
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,1.5,fanduel,138.0,2.38,0.4202,148.0,0.4032,-4.04,bet365,-165.0,1.6061,0.6226,-148.0,0.5968,-4.15,10,7,10
