player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,7.5,betparx,-103.0,1.9709,0.5074,108.0,0.4808,-5.24,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,8,8,8
Nick Jr Smith,Nets @ Hornets,Hornets,Nets,13.5,betonline,-110.0,1.9091,0.5238,102.0,0.495,-5.5,fanduel,-104.0,1.9615,0.5098,-102.0,0.5049,-0.96,8,8,8
Richaun Holmes,Wizards @ Raptors,Raptors,Wizards,7.5,caesars,104.0,2.04,0.4902,100.0,0.5,2.0,betonline,110.0,2.1,0.4762,100.0,0.5,5.0,8,7,8
Trendon Watford,Nets @ Hornets,Hornets,Nets,9.5,prizepicks,-118.0,1.8475,0.5413,-103.0,0.5074,-6.26,betmgm,125.0,2.25,0.4444,103.0,0.4926,10.83,8,8,8
Brandin Podziemski,Pistons @ Warriors,Warriors,Pistons,12.5,betmgm,105.0,2.05,0.4878,101.0,0.4975,1.99,prophetexchange,120.0,2.2,0.4545,-101.0,0.5025,10.55,6,7,7
Mark Williams,Nets @ Hornets,Hornets,Nets,15.5,betmgm,-105.0,1.9524,0.5122,102.0,0.495,-3.36,prophetexchange,132.0,2.32,0.431,-102.0,0.5049,17.14,6,7,7
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,6.5,underdog,-118.0,1.8475,0.5413,-106.0,0.5146,-4.93,fanduel,-102.0,1.9804,0.5049,106.0,0.4854,-3.87,7,7,7
Moussa Diabate,Nets @ Hornets,Hornets,Nets,9.5,hardrockbet,115.0,2.15,0.4651,100.0,0.5,7.5,caesars,-109.0,1.9174,0.5215,100.0,0.5,-4.13,7,6,7
Nic Claxton,Nets @ Hornets,Hornets,Nets,10.5,espnbet,-130.0,1.7692,0.5652,100.0,0.5,-11.54,hardrockbet,110.0,2.1,0.4762,100.0,0.5,5.0,6,7,7
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,4.5,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,7,4,7
Thomas Bryant,Pacers @ Hawks,Hawks,Pacers,7.5,betmgm,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,underdog,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,7,7,7
Tyrese Haliburton,Pacers @ Hawks,Hawks,Pacers,20.5,prophetexchange,110.0,2.1,0.4762,103.0,0.4926,3.45,fanduel,-120.0,1.8333,0.5455,-103.0,0.5074,-6.98,7,6,7
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,5.5,prophetexchange,132.0,2.32,0.431,100.0,0.5,16.0,fanduel,-113.0,1.885,0.5305,100.0,0.5,-5.75,6,5,6
